Manufacturer,Model,price,Wheelbase,Width,Length,Height,body
Acura        ,RL,15000,"114,6","71,4","196,6","56,5",sedan
Acura        ,RL,12900,"114,6","71,4","196,6","56,5",sedan
Acura        ,TL,8700,"108,1","70,3","192,9","56,1",sedan
Acura        ,TL,8699,"108,1","70,3","192,9","56,1",sedan
Acura        ,TL,8699,"108,1","70,3","192,9","56,1",sedan
Acura        ,TL,8550,"108,1","70,3","192,9","56,1",sedan
Audi         ,A6,0,"108,7","76,1",192,"57,2",crossover
Audi         ,A6,32300,"108,7","76,1",192,"57,2",hatch
Audi         ,A4,5300,"102,6","68,2",178,"55,7",other
Audi         ,A4,4800,"102,6","68,2",178,"55,7",other
Audi         ,A6,43000,"108,7","76,1",192,"57,2",other
Audi         ,A6,13900,"108,7","76,1",192,"57,2",other
Audi         ,A6,13333,"108,7","76,1",192,"57,2",other
Audi         ,A6,12800,"108,7","76,1",192,"57,2",other
Audi         ,A6,9500,"108,7","76,1",192,"57,2",other
Audi         ,A6,8200,"108,7","76,1",192,"57,2",other
Audi         ,A6,5300,"108,7","76,1",192,"57,2",other
Audi         ,A8,64400,113,74,"198,2","56,6",other
Audi         ,A8,52000,113,74,"198,2","56,6",other
Audi         ,A8,14300,113,74,"198,2","56,6",other
Audi         ,A4,31700,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,29603,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,28500,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,24300,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,23400,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,20500,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,19300,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,17500,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,15500,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,12800,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,12500,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,12000,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,11900,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,11500,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,10999,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,10399,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,10200,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,10000,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,9000,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,8800,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,8400,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,8150,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,7900,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,6200,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,6100,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,6000,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,5200,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,4000,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,2500,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,2100,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,2099,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,2000,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,1950,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,1850,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,1700,"102,6","68,2",178,"55,7",sedan
Audi         ,A4,0,"102,6","68,2",178,"55,7",sedan
Audi         ,A6,63200,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,37000,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,35900,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,35000,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,35000,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,34500,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,32000,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,31500,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,31500,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,30999,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,30500,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,27500,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,26000,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,25900,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,25500,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,23900,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,22800,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,22800,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,21700,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,20500,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,19990,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,18700,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,18500,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,18300,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,16500,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,16000,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,16000,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,15499,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,15000,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,14900,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,14300,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,14200,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,13700,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,13500,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,13000,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,12500,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,12200,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,11950,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,11900,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,11300,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,10900,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,10000,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,9999,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,9999,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,9700,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,9499,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,9300,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,8800,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,8600,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,8600,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,8500,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,8500,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,8300,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,8000,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,7999,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,7900,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,7750,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,7200,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,7200,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,6900,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,6900,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,6800,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,6700,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,6700,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,6600,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,6500,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,6400,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,4999,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,4850,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,4700,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,4400,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,4300,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,4300,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,4200,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,4000,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,4000,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,3900,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,3900,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,3800,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,3800,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,3650,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,3650,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,3550,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,3500,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,3390,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,3200,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,3000,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,3000,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,2850,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,2750,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,2700,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,2600,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,2550,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,2550,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,2500,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,2200,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,1900,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,0,"108,7","76,1",192,"57,2",sedan
Audi         ,A6,0,"108,7","76,1",192,"57,2",sedan
Audi         ,A8,90999,113,74,"198,2","56,6",sedan
Audi         ,A8,85555,113,74,"198,2","56,6",sedan
Audi         ,A8,73500,113,74,"198,2","56,6",sedan
Audi         ,A8,72000,113,74,"198,2","56,6",sedan
Audi         ,A8,68500,113,74,"198,2","56,6",sedan
Audi         ,A8,46000,113,74,"198,2","56,6",sedan
Audi         ,A8,39800,113,74,"198,2","56,6",sedan
Audi         ,A8,31999,113,74,"198,2","56,6",sedan
Audi         ,A8,24900,113,74,"198,2","56,6",sedan
Audi         ,A8,24500,113,74,"198,2","56,6",sedan
Audi         ,A8,22500,113,74,"198,2","56,6",sedan
Audi         ,A8,21000,113,74,"198,2","56,6",sedan
Audi         ,A8,18500,113,74,"198,2","56,6",sedan
Audi         ,A8,17800,113,74,"198,2","56,6",sedan
Audi         ,A8,13900,113,74,"198,2","56,6",sedan
Audi         ,A8,13300,113,74,"198,2","56,6",sedan
Audi         ,A8,12600,113,74,"198,2","56,6",sedan
Audi         ,A8,12000,113,74,"198,2","56,6",sedan
Audi         ,A8,10900,113,74,"198,2","56,6",sedan
Audi         ,A8,8700,113,74,"198,2","56,6",sedan
Audi         ,A8,8000,113,74,"198,2","56,6",sedan
Audi         ,A8,6900,113,74,"198,2","56,6",sedan
Audi         ,A8,6558,113,74,"198,2","56,6",sedan
Audi         ,A8,6500,113,74,"198,2","56,6",sedan
Audi         ,A8,4150,113,74,"198,2","56,6",sedan
Audi         ,A8,3600,113,74,"198,2","56,6",sedan
Audi         ,A8,3550,113,74,"198,2","56,6",sedan
Audi         ,A8,3500,113,74,"198,2","56,6",sedan
Audi         ,A8,3250,113,74,"198,2","56,6",sedan
Audi         ,A8,2800,113,74,"198,2","56,6",sedan
Audi         ,A8,0,113,74,"198,2","56,6",sedan
Audi         ,A8,0,113,74,"198,2","56,6",sedan
Audi         ,A8,0,113,74,"198,2","56,6",sedan
Audi         ,A8,0,113,74,"198,2","56,6",sedan
Audi         ,A8,0,113,74,"198,2","56,6",sedan
Audi         ,A4,21800,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,18400,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,17500,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,16700,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,16400,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,12450,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,7500,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,7000,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,5700,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,3700,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,3200,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,3000,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,3000,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,2600,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,2450,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,2100,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,2100,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,1950,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,1950,"102,6","68,2",178,"55,7",vagon
Audi         ,A4,1750,"102,6","68,2",178,"55,7",vagon
Audi         ,A6,30500,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,21500,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,18300,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,16500,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,15500,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,15000,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,14200,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,11800,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,10700,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,10500,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,9900,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,9800,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,9800,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,9700,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,9600,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,8100,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,8000,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,7950,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,7600,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,7000,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,6500,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,6399,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,6200,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,5999,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,4649,"108,7","76,1",192,"57,2",vagon
