Manufacturer,Model,price,Wheelbase,Width,Length,Height,body
Acura        ,RL,12900,114.6,71.4,196.6,56.5,sedan
Acura        ,RL,15000,114.6,71.4,196.6,56.5,sedan
Acura        ,TL,8550,108.1,70.3,192.9,56.1,sedan
Acura        ,TL,8699,108.1,70.3,192.9,56.1,sedan
Acura        ,TL,8699,108.1,70.3,192.9,56.1,sedan
Acura        ,TL,8700,108.1,70.3,192.9,56.1,sedan
Audi         ,A6,0,108.7,76.1,192,57.2,crossover
Audi         ,A8,0,113,74,198.2,56.6,sedan
Audi         ,A6,1900,108.7,76.1,192,57.2,sedan
Audi         ,A6,2200,108.7,76.1,192,57.2,sedan
Audi         ,A8,2800,113,74,198.2,56.6,sedan
Audi         ,A8,3250,113,74,198.2,56.6,sedan
Audi         ,A8,3500,113,74,198.2,56.6,sedan
Audi         ,A8,3550,113,74,198.2,56.6,sedan
Audi         ,A8,3600,113,74,198.2,56.6,sedan
Audi         ,A8,4150,113,74,198.2,56.6,sedan
Audi         ,A8,6500,113,74,198.2,56.6,sedan
Audi         ,A6,6700,108.7,76.1,192,57.2,sedan
Audi         ,A6,6800,108.7,76.1,192,57.2,sedan
Audi         ,A6,6900,108.7,76.1,192,57.2,sedan
Audi         ,A6,0,108.7,76.1,192,57.2,vagon
Audi         ,A6,2000,108.7,76.1,192,57.2,vagon
Audi         ,A6,3700,108.7,76.1,192,57.2,vagon
Audi         ,A6,3800,108.7,76.1,192,57.2,vagon
Audi         ,A6,3850,108.7,76.1,192,57.2,vagon
Audi         ,A6,3900,108.7,76.1,192,57.2,vagon
Audi         ,A6,3900,108.7,76.1,192,57.2,vagon
Audi         ,A6,4000,108.7,76.1,192,57.2,vagon
Audi         ,A6,4000,108.7,76.1,192,57.2,vagon
Audi         ,A6,9600,108.7,76.1,192,57.2,vagon
Buick        ,Century,3500,109,72.7,194.6,56.6,sedan
Cadillac     ,Escalade,47000,117.5,77,201.2,74.3,crossover
Cadillac     ,Escalade,145000,117.5,77,201.2,74.3,crossover
Chrysler     ,LHS,3800,113,74.4,207.7,56,sedan
