car,price,body,mileage,engType,registration,year,Model,drive
Audi,92222,crossover,0,Diesel,yes,2016,Q7,full
Audi,81999,crossover,0,Diesel,yes,2016,Q7,full
Audi,80999,crossover,0,Diesel,yes,2016,Q7,full
Audi,52055,crossover,0,Diesel,yes,2016,Q5,full
Audi,43000,crossover,1,Petrol,yes,2016,Q3,full
Audi,0,crossover,1,Diesel,yes,2016,A6 Allroad,full
Bentley,499999,crossover,0,Petrol,yes,2016,Bentayga,full
Bentley,499999,crossover,0,Petrol,yes,2016,Bentayga,full
Bentley,449999,crossover,0,Petrol,yes,2016,Bentayga,full
Bentley,0,crossover,1,Petrol,yes,2016,Bentayga,full
BMW,139000,crossover,0,Petrol,yes,2016,X6 M,full
BMW,137000,crossover,2,Petrol,yes,2016,X5 M,full
BMW,117000,crossover,1,Other,yes,2016,X6 M,
BMW,115800,crossover,4,Diesel,yes,2016,X5 M,full
BMW,104999,crossover,2,Diesel,yes,2016,X5,full
BMW,104999,crossover,2,Diesel,yes,2016,X5,full
BMW,86999,crossover,0,Diesel,yes,2016,X6,full
BMW,86999,crossover,0,Diesel,yes,2016,X6,full
BMW,77500,crossover,1,Petrol,yes,2016,X6,full
BMW,77500,crossover,1,Petrol,yes,2016,X6,
BMW,69999,crossover,0,Diesel,yes,2016,X5,full
BMW,69999,crossover,1,Petrol,yes,2016,X5,full
BMW,67500,crossover,1,Diesel,yes,2016,X5,full
BMW,67500,crossover,1,Diesel,yes,2016,X5,full
BMW,67500,crossover,1,Diesel,yes,2016,X5,full
BMW,67431,crossover,0,Diesel,yes,2016,X5,full
BMW,66666,crossover,0,Diesel,yes,2016,X5,full
BMW,66500,crossover,1,Diesel,yes,2016,X5,full
BMW,66500,crossover,0,Other,yes,2016,X5,full
BMW,65500,crossover,1,Diesel,yes,2016,X5,full
BMW,65393,crossover,0,Diesel,yes,2016,X5,full
BMW,65099,crossover,0,Diesel,yes,2016,X5,full
BMW,65000,crossover,0,Diesel,yes,2016,X5,full
BMW,64500,crossover,1,Diesel,yes,2016,X5,full
BMW,63500,crossover,1,Diesel,yes,2016,X5,full
BMW,62900,crossover,1,Diesel,yes,2016,X5,full
BMW,62000,crossover,1,Diesel,yes,2016,X5,full
BMW,60500,crossover,1,Diesel,yes,2016,X5,full
BMW,59900,crossover,30,Diesel,yes,2016,X5,full
BMW,56500,crossover,1,Diesel,yes,2016,X5,
BMW,48536,crossover,0,Diesel,yes,2016,X3,full
